School	Sex	SES	MathAch	Sector	CSES
1	1	-1.528	5.876	0	-1.1
1	1	-0.588	19.708	0	-0.16
1	0	-0.528	20.349	0	-0.1
1	0	-0.668	8.781	0	-0.24
1	0	-0.158	17.898	0	0.27
1	0	0.022	4.583	0	0.45
1	1	-0.618	-2.832	0	-0.19
1	0	-0.998	0.523	0	-0.57
1	1	-0.888	1.527	0	-0.46
1	0	-0.458	21.521	0	-0.03
1	1	-1.448	9.475	0	-1.02
1	1	-0.658	16.057	0	-0.23
1	0	-0.468	21.178	0	-0.04
1	1	-0.988	20.178	0	-0.56
1	0	0.332	20.349	0	0.76
1	1	-0.678	20.508	0	-0.25
1	0	-0.298	19.338	0	0.13
1	0	-1.528	4.145	0	-1.1
1	1	0.042	2.927	0	0.47
1	0	-0.078	16.405	0	0.35
1	1	0.062	13.653	0	0.49
1	1	-0.128	6.558	0	0.3
1	1	0.472	9.653	0	0.9
1	0	-0.468	3.154	0	-0.04
1	1	-1.248	4.753	0	-0.82
1	0	-0.628	21.721	0	-0.2
1	1	0.832	5.166	0	1.26
1	1	-0.568	6.399	0	-0.14
1	1	-0.258	6.821	0	0.17
1	1	-0.138	9.255	0	0.29
1	1	-0.478	3.745	0	-0.05
1	1	-0.948	0.858	0	-0.52
1	1	0.282	11.542	0	0.71
1	1	-0.118	13.255	0	0.31
1	0	-0.878	10.557	0	-0.45
1	0	-0.938	0.868	0	-0.51
1	0	-0.548	8.296	0	-0.12
1	0	0.142	-1.688	0	0.57
1	1	0.972	2.059	0	1.4
1	0	0.372	6.714	0	0.8
1	0	-1.658	0.122	0	-1.23
1	1	-1.068	2.381	0	-0.64
1	1	-0.248	16.336	0	0.18
1	1	-1.398	6.134	0	-0.97
1	1	0.752	23.584	0	1.18
1	1	0.012	14.053	0	0.44
1	1	-0.418	2.183	0	0.01
2	1	-0.788	7.857	0	-0.916
2	0	-0.328	10.171	0	-0.456
2	0	0.472	15.699	0	0.344
2	1	0.352	22.919	0	0.224
2	1	-1.468	10.664	0	-1.596
2	1	0.202	13.543	0	0.074
2	0	-0.518	18.207	0	-0.646
2	0	-0.158	5.552	0	-0.286
2	0	0.042	7.416	0	-0.086
2	0	0.682	18.792	0	0.554
2	0	1.262	1.575	0	1.134
2	1	0.152	3.534	0	0.024
2	1	-0.678	20.173	0	-0.806
2	1	0.332	10.772	0	0.204
2	1	-0.728	2.619	0	-0.856
2	1	1.262	21.3	0	1.134
2	0	0.612	19.527	0	0.484
2	1	0.692	18.402	0	0.564
2	1	1.082	20.69	0	0.954
2	0	0.222	21.437	0	0.094
2	0	0.032	7.519	0	-0.096
2	0	-0.118	18.397	0	-0.246
2	0	-0.488	4.617	0	-0.616
2	0	0.322	23.578	0	0.194
2	0	0.592	12.81	0	0.464
3	1	-0.148	12.668	0	0.272
3	0	-0.858	0.781	0	-0.438
3	1	-1.568	4.968	0	-1.148
3	0	-0.898	23.172	0	-0.478
3	1	-0.288	8.278	0	0.132
3	1	-1.088	6.244	0	-0.668
3	1	-1.388	1.326	0	-0.968
3	0	-1.148	2.359	0	-0.728
3	1	-0.558	6.757	0	-0.138
3	1	-0.698	6.251	0	-0.278
3	1	0.142	3.404	0	0.562
3	0	0.522	22.201	0	0.942
3	0	0.732	-1.353	0	1.152
3	1	-0.248	-0.014	0	0.172
3	1	0.322	5.216	0	0.742
3	1	0.052	3.587	0	0.472
3	1	-0.028	11.162	0	0.392
3	1	-0.898	5.982	0	-0.478
3	0	-0.818	2.814	0	-0.398
3	1	-1.408	7.272	0	-0.988
3	0	-1.258	8.895	0	-0.838
3	0	-0.608	8.773	0	-0.188
3	1	1.242	12.176	0	1.662
3	0	-0.688	3.052	0	-0.268
3	1	-0.828	6.834	0	-0.408
3	1	-0.698	3.255	0	-0.278
3	1	-0.498	6.355	0	-0.078
3	0	-0.658	11.589	0	-0.238
3	1	-0.778	8.08	0	-0.358
3	1	-0.098	19.822	0	0.322
3	1	-1.028	14.239	0	-0.608
3	1	-0.418	1.17	0	0.002
3	1	-0.408	-1.127	0	0.012
3	0	0.352	10.84	0	0.772
3	1	-1.628	6.778	0	-1.208
3	1	-0.698	9.449	0	-0.278
3	0	-0.168	5.995	0	0.252
3	1	-0.718	4.765	0	-0.298
3	1	-1.008	14.399	0	-0.588
3	0	-0.178	6.588	0	0.242
3	0	0.392	11.026	0	0.812
3	1	-0.358	7.095	0	0.062
3	0	-0.628	12.721	0	-0.208
3	0	-0.038	5.52	0	0.382
3	1	0.972	7.353	0	1.392
3	1	0.252	7.095	0	0.672
3	1	0.332	9.999	0	0.752
3	0	-0.308	10.715	0	0.112
4	0	0.422	13.233	1	-0.112
4	0	0.562	13.952	1	0.028
4	0	-0.058	13.757	1	-0.592
4	0	0.952	13.97	1	0.418
4	0	0.622	23.434	1	0.088
4	0	0.832	9.162	1	0.298
4	0	1.512	23.818	1	0.978
4	0	0.622	15.998	1	0.088
4	0	0.332	16.039	1	-0.202
4	0	0.442	24.993	1	-0.092
4	0	0.582	15.657	1	0.0479999999999999
4	0	1.102	16.258	1	0.568
4	0	0.892	10.546	1	0.358
4	0	0.802	17.615	1	0.268
4	0	-0.568	21.116	1	-1.102
4	0	0.522	6.493	1	-0.012
4	0	0.102	2.512	1	-0.432
4	0	-0.348	22.393	1	-0.882
4	0	0.552	21.488	1	0.018
4	0	0.682	22.676	1	0.148
5	1	0.882	12.862	1	0.531
5	1	0.932	8.961	1	0.581
5	1	-0.158	4.756	1	-0.509
5	1	0.362	21.405	1	0.011
5	1	1.372	20.748	1	1.021
5	1	0.132	18.362	1	-0.219
5	1	0.132	14.752	1	-0.219
5	1	-0.008	11.29	1	-0.359
5	1	-0.108	10.493	1	-0.459
5	1	0.612	10.956	1	0.261
5	1	0.482	21.405	1	0.131
5	1	0.502	23.355	1	0.151
5	1	0.482	12.283	1	0.131
5	1	0.472	9.257	1	0.121
5	1	-0.578	11.502	1	-0.929
5	1	1.152	20.039	1	0.801
5	1	-0.288	21.405	1	-0.639
5	1	0.942	23.736	1	0.591
5	1	0.722	11.027	1	0.371
5	1	-0.108	17.203	1	-0.459
5	1	1.462	10.661	1	1.111
5	1	-0.028	7.031	1	-0.379
5	1	0.702	13.677	1	0.351
5	1	0.082	13.373	1	-0.269
5	1	-0.108	10.121	1	-0.459
5	1	0.322	10.394	1	-0.0290000000000000
5	1	0.302	6.973	1	-0.049
5	1	-0.098	11.064	1	-0.449
5	1	-0.848	11.531	1	-1.199
5	1	-1.248	8.253	1	-1.599
5	1	0.122	7.142	1	-0.229
5	1	0.272	3.22	1	-0.079
5	1	0.582	15.784	1	0.231
5	1	0.642	17.246	1	0.291
5	1	0.952	9.337	1	0.601
5	1	-0.258	15.555	1	-0.609
5	1	0.492	8.382	1	0.141
5	1	0.992	11.621	1	0.641
5	1	0.832	4.81	1	0.481
5	1	-0.068	17.869	1	-0.419
5	1	-0.088	8.057	1	-0.439
5	1	0.972	11.794	1	0.621
5	1	0.542	18.939	1	0.191
5	1	0.132	20.261	1	-0.219
5	1	-0.008	10.066	1	-0.359
5	1	0.812	20.236	1	0.461
5	1	1.122	4.508	1	0.771
5	1	0.062	18.827	1	-0.289
